Date,Species,Sampled individuals,Samples,GPS lat,GPS long
2016,PTEROPODIDAEEpomophorusgambianus,26,Blood : 25Feces : 2Urine : 3Saliva : 26Rectal swab : 26,9.53117,13.68617
2016,PTEROPODIDAEMicropteropuspusillus,10,Blood : 10Saliva : 10Rectal swab : 3,9.53117,13.68617
2016,PTEROPODIDAEEidolonhelvum,1,Blood : 1Saliva : 1Rectal swab : 1,9.59437,13.65334
2016,PTEROPODIDAEEpomophorusgambianus,2,Blood : 2Saliva : 2Rectal swab : 2,9.59437,13.65334
2016,PTEROPODIDAEEpomophorusgambianus,1,Blood : 1Saliva : 1Rectal swab : 1,9.60718,13.5871
2016,PTEROPODIDAEEidolonhelvum,4,Blood : 4Saliva : 4Rectal swab : 4Ectoparasites : 2,9.60755,13.58697
2016,HIPPOSIDERIDAEHipposideroscaffer,19,Blood : 17Feces : 3Saliva : 17Rectal swab : 8Full specimen : 1,10.10933,12.84174
2016,PTEROPODIDAEMyonycterisangolensis,6,Blood : 6Saliva : 6Rectal swab : 3,10.18951,12.52259
2016,PTEROPODIDAEMyonycterisangolensis,14,Blood : 14Feces : 1Saliva : 14Rectal swab : 14,10.25294,12.45796
2016,PTEROPODIDAEMyonycterisangolensis,15,Blood : 15Saliva : 15Rectal swab : 15,10.26254,12.43648
2016,#NOM?,11,Blood : 11Saliva : 11,10.31173,12.43455
2016,MOLOSSIDAEMopsthersites,1,Blood : 1Saliva : 1,10.3699,9.54803
2016,#NOM?,1,Blood : 1Saliva : 1,10.3699,9.54803
2016,MOLOSSIDAEChaerephonpumilus,1,Blood : 1Saliva : 1,10.3699,9.54803
2016,MOLOSSIDAEMopscondylurus,1,Blood : 1Saliva : 1,10.3699,9.54803
2016,PTEROPODIDAEEpomophorusgambianus,6,Blood : 5Saliva : 6Rectal swab : 5,10.37105,9.33706
2016,PTEROPODIDAEMicropteropuspusillus,1,Blood : 1Saliva : 1Rectal swab : 1,10.37105,9.33706
2016,RHINOLOPHIDAERhinolophusfumigatus,12,Blood : 12Feces : 1Saliva : 12Rectal swab : 1,10.37856,9.37333
2016,HIPPOSIDERIDAEHipposideroscaffer,4,Blood : 4Urine : 1Saliva : 4,10.37856,9.37333
2016,#NOM?,4,Blood : 4Saliva : 4Rectal swab : 2,10.37856,9.37333
2016,HIPPOSIDERIDAEHipposiderosjonesi,2,Blood : 2Saliva : 2Rectal swab : 1,10.37856,9.37333
2016,HIPPOSIDERIDAEHipposiderosmarisae,2,Blood : 2Saliva : 2Rectal swab : 1,10.37856,9.37333
2016,HIPPOSIDERIDAEHipposiderosjonesi,6,Blood : 5Saliva : 6Full specimen : 1,10.39182,9.46186
2016,HIPPOSIDERIDAEHipposideroscaffer,13,Blood : 13Saliva : 13Full specimen : 1,10.39182,9.46186
2016,RHINOLOPHIDAERhinolophusfumigatus,16,Blood : 16Feces : 2Saliva : 16Ectoparasites : 2Full specimen : 1,10.39182,9.46186
2016,RHINOLOPHIDAERhinolophuslanderi,3,Blood : 3Saliva : 3,10.39182,9.46186
2016,PTEROPODIDAEEpomophorusgambianus,1,Blood : 1Saliva : 1Rectal swab : 1,10.66776,9.24948
2016,NYCTERIDAENycterismajor,2,Blood : 2Saliva : 2,10.67241,9.33305
2016,HIPPOSIDERIDAEHipposiderosbeatus,2,Blood : 2Saliva : 2,10.67241,9.33305
2016,HIPPOSIDERIDAEHipposideroscaffer,11,Blood : 11Feces : 2Saliva : 11,10.67241,9.33305
2016,#NOM?,1,Blood : 1Saliva : 1,10.67241,9.33305
2016,NYCTERIDAENycterismacrotis,2,Blood : 2Feces : 1Saliva : 2,10.67241,9.33305
2016,NYCTERIDAENycterisarge,2,Blood : 2Saliva : 2Full specimen : 1,10.67241,9.33305
2016,HIPPOSIDERIDAEHipposiderosfuliginosus,1,Blood : 1Saliva : 1,10.67241,9.33305
2016,RHINOLOPHIDAERhinolophuslanderi,1,Blood : 1Saliva : 1,10.67241,9.33305
2016,HIPPOSIDERIDAEHipposideroscaffer,1,Blood : 1Feces : 1Full specimen : 1,10.67241,93.3305
2016,NYCTERIDAENycterisarge,1,Blood : 1Feces : 1Saliva : 1,10.67841,9.33305
2016,HIPPOSIDERIDAEHipposiderosfuliginosus,1,Blood : 1Saliva : 1,10.68999,2.7234
2016,RHINOLOPHIDAERhinolophusswinnyi,1,Blood : 1Saliva : 1,10.68999,9.27234
2016,HIPPOSIDERIDAEHipposiderosfuliginosus,11,Blood : 10Saliva : 11,10.68999,9.27234
2016,HIPPOSIDERIDAEHipposideroscaffer,16,Blood : 16Feces : 1Saliva : 16Full specimen : 1,10.68999,9.27234
2016,RHINOLOPHIDAERhinolophuslanderi,2,Blood : 2Saliva : 2,10.68999,9.27234
2016,HIPPOSIDERIDAEHipposiderosbeatus,1,Blood : 1Saliva : 1,10.68999,9.27234
2016,PTEROPODIDAERousettusaegyptiacus,10,Blood : 10Saliva : 10Rectal swab : 10,12.32034,12.78523
2016,PTEROPODIDAEEpomophoruswahlbergi,6,Blood : 6Saliva : 6Rectal swab : 6Full specimen : 1,12.32034,12.78523
2016,#NOM?,2,Blood : 2Saliva : 2Rectal swab : 2,12.32034,12.78523
2016,MOLOSSIDAEChaerephonpumilus,10,Blood : 9Saliva : 9Rectal swab : 9,12.32034,12.78523
2016,PTEROPODIDAEMegaloglossuswoermanni,5,Blood : 5Saliva : 5Rectal swab : 5,12.32034,12.78523
2016,INDETERMINEE,1,Blood : 1Saliva : 1Rectal swab : 1,12.32034,12.78523
2016,NYCTERIDAENycterismajor,1,Saliva : 1Rectal swab : 1,12.32034,12.78523
2016,PTEROPODIDAERousettusaegyptiacus,1,Blood : 1Saliva : 1Rectal swab : 1,12.32034,13.78523
2016,PTEROPODIDAEEpomophoruswahlbergi,1,Blood : 1Saliva : 1Rectal swab : 1,12.40761,12.52503
2016,PTEROPODIDAEEpomophoruswahlbergi,12,Blood : 12Saliva : 12Rectal swab : 12Full specimen : 1,12.40761,13.52503
2016,PTEROPODIDAEEpomophoruslabiatus,1,Blood : 1Saliva : 1Rectal swab : 1,12.40761,13.52503
2016,PTEROPODIDAEEidolonhelvum,1,Blood : 1Saliva : 1Rectal swab : 1,12.40761,13.52503
2016,PTEROPODIDAEEpomophoruswahlbergi,3,Blood : 3Saliva : 3Rectal swab : 3,12.53624,13.12122
2016,#NOM?,1,Blood : 1Saliva : 1Rectal swab : 1,12.53624,13.12122
2016,VESPERTILIONIDAEMyotistricolor,1,Blood : 1Saliva : 1Rectal swab : 1,12.53624,13.12122
2016,PTEROPODIDAERousettusaegyptiacus,1,Blood : 1Saliva : 1Rectal swab : 1,12.53624,13.12122
2016,PTEROPODIDAEEidolonhelvum,1,Blood : 1Saliva : 1Rectal swab : 1,8.53653,9.50049
2016,PTEROPODIDAEEidolonhelvum,3,Blood : 3Saliva : 3Rectal swab : 3,8.53663,9.50049
2016,PTEROPODIDAEHypsignathusmonstrosus,5,Blood : 5Saliva : 5Rectal swab : 5,8.53663,9.50049
2016,PTEROPODIDAEMyonycteris,1,Blood : 1Saliva : 1Rectal swab : 1,8.54744,10.13084
2016,#NOM?,1,Blood : 1Saliva : 1Rectal swab : 1,8.55514,10.2244
2016,PTEROPODIDAEMyonycteris,4,Blood : 3Saliva : 4Rectal swab : 4Full specimen : 1,8.61295,10.26221
2016,PTEROPODIDAEMyonycterisangolensis,2,Blood : 2Saliva : 2Rectal swab : 2,8.61295,10.26221
2016,PTEROPODIDAEMyonycterisangolensis,1,Blood : 1Saliva : 1Rectal swab : 1,8.61308,10.26236
2016,PTEROPODIDAEMyonycterisangolensis,13,Blood : 13Saliva : 13Rectal swab : 13,8.61308,10.26256
2016,MOLOSSIDAETadaridaaegyptiaca,1,Blood : 1Saliva : 1,8.61308,10.26256
2016,INDETERMINEE,1,Blood : 1Saliva : 1,8.61308,10.26256
2016,PTEROPODIDAEMyonycterisangolensis,1,Blood : 1Saliva : 1Rectal swab : 1,8.61315,10.26216
2016,PTEROPODIDAEMyonycterisangolensis,20,Blood : 20Saliva : 20Rectal swab : 20,8.61315,10.26217
2016,PTEROPODIDAEMicropteropuspusillus,1,Blood : 1Saliva : 1Rectal swab : 1,8.62298,10.06521
2016,PTEROPODIDAEEpomopsfranqueti,1,Blood : 1Saliva : 1Rectal swab : 1,8.62298,10.06521
2016,PTEROPODIDAEEpomopsfranqueti,2,Blood : 2Saliva : 2Rectal swab : 2,8.6294,10.07365
2016,PTEROPODIDAEHypsignathusmonstrosus,1,Blood : 1Saliva : 1Rectal swab : 1,8.6294,10.07365
2016,MOLOSSIDAEMyopteruswhitleyi,11,Blood : 11Feces : 3Saliva : 11,9.52728,13.68561
2016,PTEROPODIDAEEpomophorusgambianus,1,Blood : 1Saliva : 1Rectal swab : 1,9.52728,13.68561
2016,MOLOSSIDAETadaridaaegyptiaca,3,Blood : 3Saliva : 3,9.52728,13.68561
2016,MOLOSSIDAEMopsnanulus,1,Blood : 1Saliva : 1,9.52728,13.68561
2016,#NOM?,4,Blood : 4Saliva : 4,9.52728,13.68561
2016,MOLOSSIDAEMopsthersites,1,Blood : 1,9.52728,13.68561
2016,PTEROPODIDAEMyonycteristorquata,1,Blood : 1Saliva : 1Rectal swab : 1Ectoparasites : 1,9.52728,13.68561
2016,#NOM?,1,Blood : 1Saliva : 1Rectal swab : 1,9.5943,13.65341
