Date,Species,Sampled individuals,Samples,GPS lat,GPS long,Country
2016.0,PTEROPODIDAEEpomophorusgambianus,26.0,Blood : 25Feces : 2Urine : 3Saliva : 26Rectal swab : 26,9.53117,13.68617,
2016.0,PTEROPODIDAEMicropteropuspusillus,10.0,Blood : 10Saliva : 10Rectal swab : 3,9.53117,13.68617,
2016.0,PTEROPODIDAEEidolonhelvum,1.0,Blood : 1Saliva : 1Rectal swab : 1,9.59437,13.65334,
2016.0,PTEROPODIDAEEpomophorusgambianus,2.0,Blood : 2Saliva : 2Rectal swab : 2,9.59437,13.65334,
2016.0,PTEROPODIDAEEpomophorusgambianus,1.0,Blood : 1Saliva : 1Rectal swab : 1,9.60718,13.5871,
2016.0,PTEROPODIDAEEidolonhelvum,4.0,Blood : 4Saliva : 4Rectal swab : 4Ectoparasites : 2,9.60755,13.58697,
2016.0,HIPPOSIDERIDAEHipposideroscaffer,19.0,Blood : 17Feces : 3Saliva : 17Rectal swab : 8Full specimen : 1,10.10933,12.84174,
2016.0,PTEROPODIDAEMyonycterisangolensis,6.0,Blood : 6Saliva : 6Rectal swab : 3,10.18951,12.52259,
2016.0,PTEROPODIDAEMyonycterisangolensis,14.0,Blood : 14Feces : 1Saliva : 14Rectal swab : 14,10.25294,12.45796,
2016.0,PTEROPODIDAEMyonycterisangolensis,15.0,Blood : 15Saliva : 15Rectal swab : 15,10.26254,12.43648,
2016.0,#NOM?,11.0,Blood : 11Saliva : 11,10.31173,12.43455,
2016.0,MOLOSSIDAEMopsthersites,1.0,Blood : 1Saliva : 1,10.3699,9.54803,
2016.0,#NOM?,1.0,Blood : 1Saliva : 1,10.3699,9.54803,
2016.0,MOLOSSIDAEChaerephonpumilus,1.0,Blood : 1Saliva : 1,10.3699,9.54803,
2016.0,MOLOSSIDAEMopscondylurus,1.0,Blood : 1Saliva : 1,10.3699,9.54803,
2016.0,PTEROPODIDAEEpomophorusgambianus,6.0,Blood : 5Saliva : 6Rectal swab : 5,10.37105,9.33706,
2016.0,PTEROPODIDAEMicropteropuspusillus,1.0,Blood : 1Saliva : 1Rectal swab : 1,10.37105,9.33706,
2016.0,RHINOLOPHIDAERhinolophusfumigatus,12.0,Blood : 12Feces : 1Saliva : 12Rectal swab : 1,10.37856,9.37333,
2016.0,HIPPOSIDERIDAEHipposideroscaffer,4.0,Blood : 4Urine : 1Saliva : 4,10.37856,9.37333,
2016.0,#NOM?,4.0,Blood : 4Saliva : 4Rectal swab : 2,10.37856,9.37333,
2016.0,HIPPOSIDERIDAEHipposiderosjonesi,2.0,Blood : 2Saliva : 2Rectal swab : 1,10.37856,9.37333,
2016.0,HIPPOSIDERIDAEHipposiderosmarisae,2.0,Blood : 2Saliva : 2Rectal swab : 1,10.37856,9.37333,
2016.0,HIPPOSIDERIDAEHipposiderosjonesi,6.0,Blood : 5Saliva : 6Full specimen : 1,10.39182,9.46186,
2016.0,HIPPOSIDERIDAEHipposideroscaffer,13.0,Blood : 13Saliva : 13Full specimen : 1,10.39182,9.46186,
2016.0,RHINOLOPHIDAERhinolophusfumigatus,16.0,Blood : 16Feces : 2Saliva : 16Ectoparasites : 2Full specimen : 1,10.39182,9.46186,
2016.0,RHINOLOPHIDAERhinolophuslanderi,3.0,Blood : 3Saliva : 3,10.39182,9.46186,
2016.0,PTEROPODIDAEEpomophorusgambianus,1.0,Blood : 1Saliva : 1Rectal swab : 1,10.66776,9.24948,
2016.0,NYCTERIDAENycterismajor,2.0,Blood : 2Saliva : 2,10.67241,9.33305,
2016.0,HIPPOSIDERIDAEHipposiderosbeatus,2.0,Blood : 2Saliva : 2,10.67241,9.33305,
2016.0,HIPPOSIDERIDAEHipposideroscaffer,11.0,Blood : 11Feces : 2Saliva : 11,10.67241,9.33305,
2016.0,#NOM?,1.0,Blood : 1Saliva : 1,10.67241,9.33305,
2016.0,NYCTERIDAENycterismacrotis,2.0,Blood : 2Feces : 1Saliva : 2,10.67241,9.33305,
2016.0,NYCTERIDAENycterisarge,2.0,Blood : 2Saliva : 2Full specimen : 1,10.67241,9.33305,
2016.0,HIPPOSIDERIDAEHipposiderosfuliginosus,1.0,Blood : 1Saliva : 1,10.67241,9.33305,
2016.0,RHINOLOPHIDAERhinolophuslanderi,1.0,Blood : 1Saliva : 1,10.67241,9.33305,
