Country,Population Density,Latitude,Longitude
Algeria,19,28.0339,1.6596
Angola,28,-11.2027,17.8739
Benin,113,9.3077,2.3158
Botswana,4,-22.3285,24.6849
Burkina Faso,81,12.2383,-1.5616
Burundi,451,-3.3731,29.9189
Cameroon,57,3.848,11.5021
Central African Republic,9,6.6111,20.9394
Chad,13,15.4542,18.7322
Comoros,368,-11.875,43.8722
Congo,17,-0.228,15.8277
DR Congo,41,-4.0383,21.7587
Djibouti,48,11.8251,42.5903
Egypt,109,26.8206,30.8025
Equatorial Guinea,58,1.6508,10.2679
Eritrea,31,15.1794,39.7823
Eswatini,69,-26.5225,31.4659
Ethiopia,109,9.145,40.4897
Gabon,9,-0.8037,11.6094
Gambia,234,13.4432,-15.3101
Ghana,138,7.9465,-1.0232
Guinea,55,9.9456,-9.6966
Guinea-Bissau,57,11.8037,-15.1804
Ivory Coast,85,7.5399,-5.5471
Kenya,90,-1.2864,36.8172
Lesotho,75,-29.6099,28.2336
Liberia,47,6.4281,-9.4295
Libya,4,26.3351,17.2283
Madagascar,48,-18.7669,46.8691
Malawi,192,-13.2543,34.3015
Mali,17,17.5707,-3.9962
Mauritania,4,21.0079,-10.9408
Mauritius,632,-20.3484,57.5522
Morocco,83,31.7917,-7.0926
Mozambique,39,-18.6657,35.5296
Namibia,3,-22.9576,18.4904
Niger,19,17.6078,8.0817
Nigeria,223,9.082,8.6753
Rwanda,525,-1.9403,29.8739
Senegal,85,14.4974,-14.4524
Seychelles,214,-4.6796,55.4919
Sierra Leone,111,8.4606,-11.7799
Somalia,25,5.1521,46.1996
South Africa,48,-30.5595,22.9375
South Sudan,18,6.877,31.307
Sudan,24,12.8628,30.2176
Tanzania,67,-6.369,34.8888
Togo,152,8.6195,0.8248
Tunisia,76,33.8869,9.5375
Uganda,229,1.3733,32.2903
Zambia,25,-13.1339,27.8493
Zimbabwe,38,-19.0154,29.1549
